Date,Stone,Pounds,Ounces,weight_oz,calories,cals_per_oz,five_donuts,walk,run,wine,prot,weight,change
7/30/18,12,2,6,2726,1950,0.72,1,1,0,0,0,0,-30
7/31/18,12,0,8,2696,2600,0.96,1,0,0,0,0,0,8
8/1/18,12,1,0,2704,2500,0.92,1,1,0,0,0,0,0
8/2/18,12,1,0,2704,1850,0.68,1,1,0,1,0,0,-40
8/3/18,11,12,8,2664,2900,1.09,1,1,0,0,0,0,14
8/4/18,11,13,6,2678,3600,1.34,0,0,0,0,0,0,14
8/5/18,12,0,4,2692,2400,0.89,0,0,0,0,0,0,-2
8/6/18,12,0,2,2690,3100,1.15,1,1,0,0,0,0,6
8/7/18,12,0,8,2696,2200,0.82,1,1,0,0,0,0,-8
8/8/18,12,0,0,2688,1800,0.67,1,1,0,0,0,0,-40
8/9/18,11,11,8,2648,2300,0.87,1,1,0,1,0,0,-18
8/10/18,11,10,6,2630,3000,1.14,1,1,0,1,0,0,12
8/11/18,11,11,2,2642,4000,1.51,0,0,0,1,0,0,34
8/12/18,11,13,4,2676,2800,1.05,0,1,0,1,0,0,-12
8/13/18,11,12,8,2664,2300,0.86,1,1,0,0,0,0,-2
8/14/18,11,12,6,2662,2400,0.9,1,1,0,0,0,0,-4
8/15/18,11,12,2,2658,2100,0.79,1,1,0,0,0,0,-10
8/16/18,11,11,8,2648,2450,0.93,1,1,0,0,0,0,10
8/17/18,11,12,2,2658,3400,1.28,1,1,0,1,0,0,22
8/18/18,11,13,8,2680,3600,1.34,0,0,1,1,0,0,14
8/19/18,12,0,6,2694,4200,1.56,0,0,0,1,0,0,16
8/20/18,12,1,6,2710,2000,0.74,0,1,0,0,0,0,-18
8/21/18,12,0,4,2692,2150,0.8,0,1,0,0,0,0,-20
8/22/18,11,13,0,2672,2300,0.86,1,1,1,0,0,0,-26
8/23/18,11,11,6,2646,2800,1.06,1,0,0,0,0,0,2
8/24/18,11,11,8,2648,2000,0.76,1,0,0,0,0,0,-6
8/25/18,11,11,2,2642,4150,1.57,0,0,0,0,0,0,18
8/26/18,11,12,4,2660,5400,2.03,0,1,0,1,0,0,46
8/27/18,12,1,2,2706,1700,0.63,1,1,0,0,0,0,-32
8/28/18,11,13,2,2674,2100,0.79,1,1,0,0,0,0,-18
8/29/18,11,12,0,2656,2150,0.81,0,1,1,0,0,0,-16
8/30/18,11,11,0,2640,3250,1.23,0,1,0,1,0,0,22
8/31/18,11,12,6,2662,4200,1.58,0,0,0,1,0,0,28
9/1/18,12,0,2,2690,4800,1.78,0,0,0,1,0,0,20
9/2/18,12,1,6,2710,4600,1.7,0,0,0,1,0,0,14
9/3/18,12,2,4,2724,1800,0.66,0,1,0,0,0,0,-50
9/4/18,11,13,2,2674,2400,0.9,0,1,0,0,1,1,-2
9/5/18,11,13,0,2672,2500,0.94,0,1,1,0,1,1,-16
9/6/18,11,12,0,2656,3800,1.43,0,1,0,1,1,1,32
9/7/18,12,0,0,2688,2000,0.74,0,1,0,1,1,1,-14
9/8/18,11,13,2,2674,3100,1.16,0,0,0,0,1,1,18
9/9/18,12,0,4,2692,5200,1.93,0,1,1,1,1,1,-12
9/10/18,11,13,8,2680,2200,0.82,0,1,0,0,1,1,-4
9/11/18,11,13,4,2676,2100,0.78,0,1,0,0,1,1,-14
9/12/18,11,12,6,2662,2350,0.88,0,1,0,0,1,1,-2
9/13/18,11,12,4,2660,6300,2.37,1,1,0,1,1,1,18
9/14/18,11,13,6,2678,1700,0.63,0,1,0,0,1,1,-4
9/15/18,11,13,2,2674,5650,2.11,0,1,1,0,1,1,16
9/16/18,12,0,2,2690,5900,2.19,0,0,0,0,1,1,34
9/17/18,12,2,4,2724,2250,0.83,0,1,0,0,1,1,-30
9/18/18,12,0,6,2694,2350,0.87,0,1,1,0,1,1,-20
9/19/18,11,13,2,2674,2600,0.97,0,1,0,0,1,1,0
9/20/18,11,13,2,2674,5400,2.02,0,1,0,0,1,1,18
9/21/18,12,0,4,2692,4400,1.63,0,1,0,1,1,1,2
9/22/18,12,0,6,2694,3050,1.13,0,1,0,1,1,1,0
9/23/18,12,0,6,2694,5900,2.19,0,0,1,0,1,1,12
9/24/18,12,1,2,2706,2400,0.89,0,1,0,0,1,1,-12
9/25/18,12,0,6,2694,1900,0.71,0,1,0,1,1,1,-20
9/26/18,11,13,2,2674,2300,0.86,0,1,0,0,1,1,6
9/27/18,11,13,8,2680,2550,0.95,1,1,0,0,1,1,-8
9/28/18,11,13,0,2672,,,,,,,,,
9/29/18,,,,,,,,,,,,,
9/30/18,,,,,,,,,,,,,
10/1/18,12,4,0,2752,5800,2.11,0,0,0,0,0,0,16
10/2/18,12,5,0,2768,2500,0.9,1,1,0,0,0,0,-32
10/3/18,12,3,0,2736,5150,1.88,1,1,0,0,0,0,20
10/4/18,12,4,4,2756,4300,1.56,1,1,0,1,0,0,-12
10/5/18,12,3,8,2744,2900,1.06,1,1,0,1,0,0,-2
10/6/18,12,3,6,2742,1500,0.55,0,1,1,0,0,0,-38
10/7/18,12,1,0,2704,2200,0.81,0,0,0,0,0,0,-12
10/8/18,12,0,4,2692,2200,0.82,1,1,0,0,0,0,-4
10/9/18,12,0,0,2688,1400,0.52,0,1,0,0,0,0,-24
10/10/18,11,12,8,2664,3400,1.28,0,1,1,0,0,1,14
10/11/18,11,13,6,2678,2900,1.08,1,1,0,0,0,1,28
10/12/18,12,1,2,2706,1600,0.59,0,1,0,0,0,1,-30
10/13/18,11,13,4,2676,4900,1.83,0,0,1,1,0,1,20
10/14/18,12,0,8,2696,6450,2.39,0,0,1,0,0,1,40
10/15/18,12,3,0,2736,2300,0.84,1,1,0,0,0,1,-26
10/16/18,12,1,6,2710,2300,0.85,1,1,0,0,0,1,-34
10/17/18,11,13,4,2676,1800,0.67,0,0,0,1,0,0,-14
10/18/18,11,12,6,2662,3200,1.2,0,0,0,0,0,0,26
10/19/18,12,0,0,2688,3400,1.26,0,0,0,0,0,0,16
10/20/18,12,1,0,2704,1900,0.7,0,0,0,0,0,0,-10
10/21/18,12,0,6,2694,4300,1.6,0,1,1,0,0,0,-2
10/22/18,12,0,4,2692,1800,0.67,0,1,0,0,0,0,-18
10/23/18,11,13,2,2674,3750,1.4,0,1,0,1,0,0,-10
10/24/18,11,12,8,2664,3500,1.31,0,1,0,0,0,0,40
10/25/18,12,1,0,2704,2850,1.05,1,1,0,0,0,0,2
10/26/18,12,1,2,2706,2750,1.02,1,0,0,0,0,0,-2
10/27/18,12,1,0,2704,2950,1.09,0,0,1,1,0,0,-16
10/28/18,12,0,0,2688,7550,2.81,0,0,0,1,0,0,64
10/29/18,12,4,0,2752,1400,0.51,0,1,0,0,0,0,-48
10/30/18,12,1,0,2704,1550,0.57,0,1,0,0,0,0,-32
10/31/18,11,13,0,2672,2350,0.88,1,1,1,0,0,0,-8
11/1/18,11,12,8,2664,5400,2.03,0,1,0,1,0,0,44
11/2/18,12,1,4,2708,3300,1.22,0,1,0,1,0,0,-14
11/3/18,12,0,6,2694,5350,1.99,0,0,1,0,0,0,14
11/4/18,12,1,4,2708,5200,1.92,0,0,0,0,0,0,32
11/5/18,12,3,4,2740,2000,0.73,1,1,0,0,0,0,-44
11/6/18,12,0,8,2696,3550,1.32,1,1,0,0,0,1,8
11/7/18,12,1,0,2704,2200,0.81,0,0,1,0,0,1,0
11/8/18,12,1,0,2704,2600,0.96,0,1,0,0,0,1,-10
11/9/18,12,0,6,2694,3700,1.37,0,1,1,1,0,1,-14
11/10/18,11,13,8,2680,3600,1.34,0,1,0,1,0,1,0
11/11/18,11,13,8,2680,2600,0.97,0,1,1,0,0,1,-32
11/12/18,11,11,8,2648,4250,1.6,1,1,0,1,0,1,58
11/13/18,12,1,2,2706,2050,0.76,0,1,1,0,0,1,-16
11/14/18,12,0,2,2690,5850,2.17,1,0,0,0,0,1,48
11/15/18,12,3,2,2738,1950,0.71,0,0,1,0,0,1,-58
11/16/18,11,13,8,2680,5050,1.88,0,1,0,0,1,1,12
11/17/18,12,0,4,2692,6200,2.3,0,0,1,1,0,1,12
11/18/18,12,1,0,2704,7050,2.61,0,0,0,0,0,1,34
11/19/18,12,3,2,2738,2200,0.8,1,0,1,0,0,1,-42
11/20/18,12,0,8,2696,2350,0.87,0,1,0,0,0,1,26
11/21/18,12,2,2,2722,5350,1.97,1,0,0,1,0,1,14
11/22/18,12,3,0,2736,1600,0.58,1,1,1,0,0,1,-46
11/23/18,12,0,2,2690,3150,1.17,1,1,0,1,0,0,-10
11/24/18,11,13,8,2680,3750,1.4,0,0,1,0,0,0,26
11/25/18,12,1,2,2706,6400,2.37,0,0,0,1,0,0,20
11/26/18,12,2,6,2726,2000,0.73,1,1,0,0,0,0,-20
11/27/18,12,1,2,2706,2200,0.81,1,1,0,1,0,0,-18
11/28/18,12,0,0,2688,2350,0.87,1,1,1,0,0,1,-8
11/29/18,11,13,8,2680,2050,0.76,1,1,0,0,0,1,-8
11/30/18,11,13,0,2672,3150,1.18,0,0,1,1,0,1,18
12/1/18,12,0,2,2690,4700,1.75,0,0,0,1,0,1,20
12/2/18,12,1,6,2710,4100,1.51,0,0,0,0,0,1,14
12/3/18,12,2,4,2724,2500,0.92,1,1,1,0,0,1,-34
12/4/18,12,0,2,2690,2400,0.89,1,1,0,0,0,1,-18
12/5/18,11,13,0,2672,2150,0.8,1,0,1,0,0,1,-14
12/6/18,11,12,2,2658,2300,0.87,0,1,0,1,0,1,-18
12/7/18,11,11,0,2640,2800,1.06,0,1,1,1,0,1,16
12/8/18,11,12,0,2656,9150,3.45,0,0,0,0,0,1,102
12/9/18,12,4,6,2758,1400,0.51,0,0,1,0,0,1,-38
12/10/18,12,2,0,2720,2200,0.81,1,1,0,0,0,1,-44
12/11/18,11,13,4,2676,2300,0.86,1,1,1,0,0,1,-18
12/12/18,11,12,2,2658,2400,0.9,1,1,1,0,0,0,0
12/13/18,11,12,2,2658,2100,0.79,0,1,0,0,0,0,-10
12/14/18,11,11,8,2648,2300,0.87,0,0,1,1,0,0,-8
12/15/18,11,11,0,2640,5750,2.18,0,0,0,0,0,0,16
12/16/18,11,12,0,2656,2950,1.11,0,1,1,0,0,0,0
12/17/18,11,12,0,2656,1950,0.73,1,1,0,0,0,0,-24
12/18/18,11,10,8,2632,1900,0.72,0,1,0,0,0,0,-4
12/19/18,11,10,4,2628,1500,0.57,0,1,0,1,0,0,-30